contributors,prsClosed,prsOpened,issuesClosed,ReleaseDate,issuesOpened,Release
1,0,1,0,2014-03-20T22:22:32Z,0,75
2,3,4,0,2014-03-24T16:38:40Z,0,76
2,4,2,0,2014-03-25T17:00:46Z,0,77
0,0,0,0,2014-03-25T17:55:32Z,0,78
1,1,1,0,2014-03-27T11:28:26Z,0,79
1,2,1,0,2014-03-28T21:25:09Z,0,80
0,0,0,0,2014-03-31T18:34:06Z,0,81
4,7,7,0,2014-04-03T15:25:08Z,0,82
1,0,2,0,2014-04-03T22:28:54Z,0,83
1,4,2,0,2014-04-04T21:03:51Z,0,84
3,3,6,0,2014-04-10T21:16:58Z,0,85
2,4,2,0,2014-04-14T18:10:45Z,0,86
1,2,3,0,2014-04-16T01:07:57Z,0,87
0,0,0,0,2014-04-16T15:56:24Z,0,88
0,1,0,0,2014-04-16T16:02:41Z,0,89
2,7,5,0,2014-04-21T16:32:53Z,0,90
0,1,0,0,2014-04-23T18:42:02Z,0,91
1,1,2,0,2014-04-24T16:26:04Z,0,92
5,11,12,0,2014-05-06T13:39:10Z,0,93
4,4,4,0,2014-05-06T16:56:03Z,0,94
54,55,67,0,2014-05-13T14:55:05Z,0,95
16,16,22,0,2014-05-19T15:52:06Z,0,96
14,18,19,0,2014-05-22T19:25:47Z,0,97
8,4,8,0,2014-05-23T16:23:57Z,0,98
3,4,3,0,2014-05-23T21:00:33Z,0,99
14,15,16,0,2014-05-29T22:19:14Z,0,100
19,28,27,0,2014-06-06T17:28:04Z,0,101
3,3,3,0,2014-06-09T16:32:06Z,0,102
0,0,0,0,2014-06-09T19:58:09Z,0,103
14,22,21,0,2014-06-17T18:55:53Z,0,104
5,11,7,0,2014-06-19T16:41:15Z,0,105
5,8,8,0,2014-06-20T20:22:04Z,0,106
10,31,31,0,2014-07-02T16:51:09Z,0,107
1,1,1,0,2014-07-03T16:12:48Z,0,108
6,7,9,0,2014-07-07T20:36:20Z,0,109
2,5,5,0,2014-07-08T01:06:35Z,0,110
0,0,0,0,2014-07-08T16:29:04Z,0,111
2,3,2,0,2014-07-08T20:27:26Z,0,112
0,0,0,0,2014-07-08T22:15:47Z,0,113
10,10,14,0,2014-07-11T16:23:31Z,0,114
0,2,0,0,2014-07-11T20:03:44Z,0,115
16,22,21,0,2014-07-22T17:37:37Z,0,116
0,2,0,0,2014-07-22T19:42:49Z,0,117
5,5,6,0,2014-07-24T18:21:32Z,0,118
3,2,4,0,2014-07-25T15:38:35Z,0,119
5,3,6,0,2014-07-28T21:08:13Z,0,120
14,31,30,0,2014-08-13T12:25:03Z,0,121
4,6,4,0,2014-08-14T19:20:43Z,0,122
5,3,5,0,2014-08-15T19:17:09Z,0,123
11,17,16,0,2014-08-26T18:39:51Z,0,124
9,25,22,0,2014-09-05T16:14:41Z,0,125
9,10,10,0,2014-09-10T17:22:48Z,0,126
2,3,2,0,2014-09-11T20:45:26Z,0,127
5,7,7,0,2014-09-16T16:00:30Z,0,128
0,0,0,0,2014-09-16T17:02:45Z,0,129
8,13,17,0,2014-09-23T17:03:14Z,0,130
3,4,3,0,2014-09-24T17:24:27Z,0,131
3,6,3,0,2014-09-26T22:17:35Z,0,132
3,6,8,0,2014-09-30T20:25:55Z,0,133
2,4,2,0,2014-10-01T16:47:29Z,0,134
2,2,2,0,2014-10-02T17:04:26Z,0,135
1,2,1,0,2014-10-06T20:29:39Z,0,136
17,21,30,0,2014-10-15T18:28:37Z,0,137
5,10,6,0,2014-10-17T19:59:42Z,0,138
7,13,11,0,2014-10-22T17:21:08Z,0,139
7,7,9,0,2014-10-27T21:29:59Z,0,140
6,5,7,0,2014-10-30T18:03:35Z,0,141
7,13,11,0,2014-11-05T23:37:47Z,0,142
4,2,4,0,2014-11-07T17:44:32Z,0,143
3,3,3,0,2014-11-08T03:57:23Z,0,144
7,7,9,0,2014-11-11T17:02:19Z,0,145
4,5,5,0,2014-11-12T18:25:38Z,0,146
6,18,14,0,2014-11-18T17:36:14Z,0,147
4,7,7,0,2014-11-19T19:55:45Z,0,148
1,2,1,0,2014-11-19T23:58:51Z,0,149
4,4,6,0,2014-11-20T20:16:19Z,0,150
4,5,5,0,2014-11-24T21:23:49Z,0,151
0,0,0,0,2014-11-24T22:51:11Z,0,152
10,17,19,0,2014-12-05T16:44:28Z,0,153
8,11,11,0,2014-12-09T00:54:30Z,0,154
2,3,2,0,2014-12-09T21:56:33Z,0,155
0,1,0,0,2014-12-10T20:31:46Z,0,156
5,1,5,0,2014-12-11T21:55:00Z,0,157
2,1,2,0,2014-12-12T17:23:43Z,0,158
8,6,8,0,2014-12-16T20:57:00Z,0,159
1,3,2,0,2014-12-16T23:27:39Z,0,160
0,0,0,0,2014-12-17T02:06:28Z,0,161
3,2,3,0,2014-12-18T19:27:23Z,0,162
1,1,1,0,2014-12-19T21:27:45Z,0,163
0,1,0,0,2014-12-20T02:44:21Z,0,164
0,0,0,0,2014-12-20T02:59:46Z,0,165
12,21,22,0,2015-01-05T20:45:42Z,0,166
4,6,5,0,2015-01-07T22:02:57Z,0,0.167.0
1,0,1,0,2015-01-07T23:12:22Z,0,0.168.0
3,3,3,0,2015-01-08T17:42:08Z,0,0.169.0
4,4,6,0,2015-01-12T17:18:15Z,0,0.170.0
4,7,4,0,2015-01-13T21:04:24Z,0,0.171.0
0,0,0,0,2015-01-13T22:11:44Z,0,0.172.0
8,7,8,0,2015-01-15T18:28:41Z,0,0.173.0
1,1,1,0,2015-01-15T20:07:54Z,0,0.174.0
10,12,11,0,2015-01-21T17:53:34Z,0,0.175.0
7,7,7,0,2015-01-26T20:58:06Z,0,0.176.0
17,21,26,0,2015-02-03T17:06:11Z,0,0.177.0
14,22,23,0,2015-02-10T22:16:58Z,0,0.178.0
3,1,5,0,2015-02-11T20:20:24Z,0,0.179.0
12,19,17,0,2015-02-17T23:59:49Z,0,0.180.0
3,5,3,0,2015-02-18T21:37:06Z,0,0.181.0
4,6,5,0,2015-02-20T06:19:08Z,0,0.182.0
11,15,16,0,2015-02-25T18:19:55Z,0,0.183.0
2,1,2,0,2015-02-25T22:20:08Z,0,0.184.0
10,13,13,0,2015-03-03T19:09:33Z,0,0.185.0
1,2,1,0,2015-03-03T21:18:02Z,0,0.186.0
11,13,19,0,2015-03-09T21:07:04Z,0,0.187.0
20,37,37,0,2015-03-24T20:40:02Z,0,0.188.0
12,28,28,0,2015-04-01T20:13:40Z,0,0.189.0
8,17,16,0,2015-04-07T20:32:13Z,0,0.190.0
6,15,13,0,2015-04-14T18:36:12Z,0,0.191.0
6,3,6,0,2015-04-15T17:32:22Z,0,0.192.0
10,16,13,0,2015-04-21T18:43:54Z,0,0.193.0
3,5,3,0,2015-04-22T01:56:56Z,0,0.194.0
16,27,30,0,2015-04-30T18:37:06Z,0,0.195.0
0,0,0,0,2015-04-30T20:36:42Z,0,0.196.0
5,8,10,0,2015-05-07T01:18:41Z,0,0.197.0
0,0,0,0,2015-05-07T17:31:21Z,0,0.198.0
18,27,32,0,2015-05-14T19:31:38Z,0,0.199.0
8,10,11,0,2015-05-19T22:25:58Z,0,0.200.0
7,10,10,0,2015-05-21T20:37:38Z,0,0.201.0
6,15,14,0,2015-05-27T19:56:32Z,0,0.202.0
4,3,4,0,2015-05-28T15:11:05Z,0,0.203.0
0,0,0,0,2015-05-28T16:06:56Z,0,0.204.0
9,13,16,0,2015-06-02T15:51:33Z,0,0.205.0
7,14,8,0,2015-06-04T21:07:53Z,0,0.206.0
4,2,4,0,2015-06-05T19:05:05Z,0,0.207.0
12,19,17,0,2015-06-09T18:51:39Z,0,0.208.0
6,11,7,0,2015-06-11T16:57:30Z,0,0.209.0
9,15,17,0,2015-06-17T21:11:35Z,0,0.210.0
9,10,10,0,2015-06-22T20:09:11Z,0,0.211.0
3,3,3,0,2015-06-25T10:05:58Z,0,1.0.0
22,39,43,0,2015-07-08T17:43:55Z,0,1.0.1
2,1,2,0,2015-07-08T21:04:23Z,0,1.0.2
31,54,59,0,2015-07-28T17:57:44Z,0,1.0.3
16,31,29,0,2015-08-04T20:54:23Z,0,1.0.4
7,5,9,0,2015-08-06T20:40:04Z,0,1.0.5
5,7,6,0,2015-08-11T22:59:31Z,0,1.0.6
1,3,1,0,2015-08-12T21:33:28Z,0,1.0.7
24,35,42,0,2015-08-27T17:28:31Z,0,1.0.8
5,7,7,0,2015-08-28T20:55:24Z,0,1.0.9
13,10,17,0,2015-09-01T21:15:39Z,0,1.0.10
3,2,4,0,2015-09-02T18:20:59Z,0,1.0.11
20,30,41,0,2015-09-17T17:43:31Z,0,1.0.12
2,1,2,0,2015-09-17T23:21:52Z,0,1.0.13
2,4,2,0,2015-09-18T17:20:39Z,0,1.0.14
1,1,1,0,2015-09-18T21:18:30Z,0,1.0.15
9,15,12,0,2015-09-23T16:07:01Z,0,1.0.16
6,6,6,0,2015-09-24T18:37:40Z,0,1.0.17
2,1,2,0,2015-09-24T21:09:25Z,0,1.0.18
1,3,1,0,2015-09-25T18:19:53Z,0,1.0.19
18,25,26,0,2015-10-07T22:29:51Z,0,1.1.0-beta1
28,48,53,0,2015-10-29T18:00:41Z,0,1.1.0
0,0,0,0,2015-10-29T18:00:42Z,0,1.2.0-beta0
7,8,8,0,2015-11-02T17:48:30Z,0,1.2.0-beta1
15,21,26,0,2015-11-09T21:32:40Z,0,1.2.0-beta2
5,12,8,0,2015-11-11T19:05:34Z,0,1.2.0-beta3
1,3,1,0,2015-11-12T16:59:31Z,0,1.2.0
0,0,0,0,2015-11-12T16:59:32Z,0,1.3.0-beta0
2,5,2,0,2015-11-13T23:14:25Z,0,1.2.1
6,2,11,0,2015-11-17T16:53:13Z,0,1.3.0-beta2
1,0,1,0,2015-11-17T19:46:47Z,0,1.3.0-beta3
2,5,6,0,2015-11-18T18:58:58Z,0,1.2.2
0,1,0,0,2015-11-18T19:07:48Z,0,1.3.0-beta4
3,1,4,0,2015-11-19T15:13:37Z,0,1.2.3
0,1,0,0,2015-11-19T19:10:55Z,0,1.3.0-beta5
3,5,4,0,2015-11-20T23:54:59Z,0,1.2.4
4,3,5,0,2015-11-23T18:50:56Z,0,1.3.0-beta6
13,29,23,0,2015-12-08T23:10:06Z,0,1.3.0-beta7
1,1,1,0,2015-12-09T22:18:25Z,0,1.3.0
0,0,0,0,2015-12-09T22:18:26Z,0,1.4.0-beta0
3,2,3,0,2015-12-10T18:49:11Z,0,1.3.1
10,9,12,0,2015-12-15T22:02:12Z,0,1.4.0-beta1
2,0,2,0,2015-12-16T18:19:01Z,0,1.3.2
0,0,0,0,2015-12-16T18:21:29Z,0,1.4.0-beta2
2,3,2,0,2015-12-18T22:09:25Z,0,1.4.0-beta3
17,22,31,0,2016-01-08T19:41:10Z,0,1.3.3
11,19,17,0,2016-01-13T21:29:22Z,0,1.4.0
0,0,0,0,2016-01-13T21:29:23Z,0,1.5.0-beta0
14,18,19,0,2016-01-25T17:41:07Z,0,1.4.1
0,0,0,0,2016-01-25T18:29:46Z,0,1.5.0-beta1
3,12,3,0,2016-01-28T07:04:30Z,0,1.4.2
3,1,3,0,2016-02-01T19:01:52Z,0,1.5.0-beta2
3,5,5,0,2016-02-02T19:50:47Z,0,1.4.3
0,0,0,0,2016-02-02T19:59:42Z,0,1.5.0-beta3
9,22,17,0,2016-02-09T18:40:36Z,0,1.5.0
0,0,0,0,2016-02-09T18:40:37Z,0,1.6.0-beta0
3,5,3,0,2016-02-10T20:17:43Z,0,1.5.1
0,0,0,0,2016-02-10T20:19:48Z,0,1.6.0-beta1
1,1,2,0,2016-02-11T18:48:11Z,0,1.6.0-beta2
0,0,0,0,2016-02-11T19:02:12Z,0,1.5.2
5,5,6,0,2016-02-12T20:35:18Z,0,1.5.3
0,0,0,0,2016-02-12T20:36:54Z,0,1.6.0-beta3
12,15,19,0,2016-02-17T21:37:40Z,0,1.6.0-beta4
10,19,16,0,2016-02-22T19:42:17Z,0,1.6.0-beta5
9,8,11,0,2016-02-26T19:34:51Z,0,1.6.0-beta6
7,14,9,0,2016-03-01T19:38:50Z,0,1.5.4
3,2,4,0,2016-03-02T15:03:50Z,0,1.6.0-beta7
18,25,26,0,2016-03-08T18:38:11Z,0,1.6.0-beta8
7,17,11,0,2016-03-17T17:11:30Z,0,1.6.0
1,0,2,0,2016-03-17T20:06:53Z,0,1.7.0-beta0
13,14,18,0,2016-03-29T16:08:13Z,0,1.6.1
0,0,0,0,2016-03-29T19:59:42Z,0,1.7.0-beta1
2,3,4,0,2016-03-30T09:02:04Z,0,1.7.0-beta2
3,1,3,0,2016-03-30T17:46:02Z,0,1.7.0-beta3
1,1,1,0,2016-03-30T22:51:15Z,0,1.7.0-beta4
5,14,9,0,2016-04-01T21:55:52Z,0,1.6.2
9,8,11,0,2016-04-07T21:52:44Z,0,1.7.0-beta5
11,11,15,0,2016-04-13T18:38:46Z,0,1.7.0
0,0,0,0,2016-04-13T18:39:07Z,0,1.8.0-beta0
4,1,4,0,2016-04-14T22:45:35Z,0,1.7.1
0,0,0,0,2016-04-14T22:55:09Z,0,1.8.0-beta1
6,7,7,0,2016-04-19T00:52:30Z,0,1.8.0-beta2
0,0,0,0,2016-04-19T00:52:46Z,0,1.7.2
13,23,32,0,2016-04-28T15:38:43Z,0,1.7.3
0,0,0,0,2016-04-28T15:41:32Z,0,1.8.0-beta3
19,38,27,0,2016-05-20T00:03:09Z,0,1.7.4
0,0,0,0,2016-05-20T00:18:40Z,0,1.8.0-beta4
12,19,23,0,2016-06-06T16:24:25Z,0,1.9.0-beta0
1,1,1,0,2016-06-06T21:29:19Z,0,1.8.0
36,53,65,0,2016-07-22T22:43:06Z,0,1.9.0-beta1
6,12,10,0,2016-07-27T23:30:16Z,0,1.9.0-beta2
2,3,2,0,2016-07-29T21:12:56Z,0,1.9.0
0,0,0,0,2016-07-29T22:51:45Z,0,1.10.0-beta0
5,2,5,0,2016-08-02T18:47:56Z,0,1.9.1
2,5,3,0,2016-08-03T00:38:03Z,0,1.9.2
2,1,2,0,2016-08-03T14:29:20Z,0,1.10.0-beta1
1,4,2,0,2016-08-04T21:03:06Z,0,1.9.3
1,0,1,0,2016-08-04T23:49:31Z,0,1.9.4
0,0,0,0,2016-08-05T18:39:34Z,0,1.9.5
1,0,1,0,2016-08-05T19:18:28Z,0,1.10.0-beta2
1,3,1,0,2016-08-06T14:40:11Z,0,1.9.6
0,0,0,0,2016-08-06T14:47:51Z,0,1.10.0-beta3
3,6,4,0,2016-08-08T19:36:05Z,0,1.9.7
0,0,0,0,2016-08-08T19:36:22Z,0,1.10.0-beta4
4,9,6,0,2016-08-10T18:54:19Z,0,1.9.8
0,0,0,0,2016-08-10T19:00:25Z,0,1.10.0-beta5
12,14,17,0,2016-08-17T21:45:26Z,0,1.10.0-beta6
0,0,0,0,2016-08-17T23:27:06Z,0,1.9.9
5,6,6,0,2016-08-23T18:55:20Z,0,1.10.0-beta7
13,18,19,0,2016-08-30T17:58:46Z,0,1.10.0
1,1,1,0,2016-08-30T20:45:44Z,0,1.11.0-beta0
6,7,7,0,2016-09-01T09:09:29Z,0,1.11.0-beta1
2,2,2,0,2016-09-01T15:14:43Z,0,1.11.0-beta2
2,3,2,0,2016-09-02T14:07:06Z,0,1.11.0-beta3
3,4,3,0,2016-09-06T17:26:25Z,0,1.10.1
0,0,0,0,2016-09-06T17:27:15Z,0,1.11.0-beta4
2,3,2,0,2016-09-07T21:05:06Z,0,1.11.0-beta5
0,0,0,0,2016-09-07T21:06:15Z,0,1.10.2
54,106,97,0,2016-10-11T13:24:32Z,0,1.12.0-beta0
0,0,0,0,2016-10-11T13:58:41Z,0,1.11.0
6,5,6,0,2016-10-11T22:22:04Z,0,1.11.1
1,0,1,0,2016-10-12T17:50:09Z,0,1.12.0-beta1
9,6,10,0,2016-10-15T03:58:14Z,0,1.12.0-beta2
7,5,7,0,2016-10-17T21:18:42Z,0,1.11.2
0,3,0,0,2016-10-18T17:41:54Z,0,1.12.0-beta3
9,5,9,0,2016-10-25T01:30:09Z,0,1.12.0-beta4
9,10,9,0,2016-10-27T20:43:19Z,0,1.12.0-beta5
12,12,13,0,2016-11-02T00:20:30Z,0,1.12.0-beta6
0,2,0,0,2016-11-03T04:07:03Z,0,1.12.0-beta7
5,6,7,0,2016-11-09T19:55:15Z,0,1.12.0
0,0,0,0,2016-11-09T19:55:15Z,0,1.13.0-beta0
2,1,2,0,2016-11-10T22:09:05Z,0,1.12.1
0,0,0,0,2016-11-10T22:09:30Z,0,1.13.0-beta1
3,4,4,0,2016-11-11T21:12:29Z,0,1.12.2
0,1,0,0,2016-11-11T21:38:11Z,0,1.13.0-beta2
1,1,1,0,2016-11-15T09:38:55Z,0,1.12.3
0,0,0,0,2016-11-15T09:39:51Z,0,1.13.0-beta3
2,6,5,0,2016-11-17T21:32:53Z,0,1.12.4
1,1,1,0,2016-11-17T22:46:38Z,0,1.13.0-beta4
3,4,5,0,2016-11-21T00:44:05Z,0,1.12.5
0,0,0,0,2016-11-21T00:44:25Z,0,1.13.0-beta5
9,10,12,0,2016-11-25T13:22:11Z,0,1.12.6
0,0,0,0,2016-11-25T13:22:27Z,0,1.13.0-beta6
11,16,14,0,2016-12-08T20:26:09Z,0,1.12.7
1,0,1,0,2016-12-08T20:42:41Z,0,1.13.0-beta7
4,3,4,0,2016-12-09T17:47:43Z,0,1.13.0-beta8
15,32,28,0,2017-01-03T19:41:46Z,0,1.13.0-beta9
0,0,0,0,2017-01-03T20:05:15Z,0,1.12.8
3,3,4,0,2017-01-04T23:19:46Z,0,1.12.9
0,0,0,0,2017-01-04T23:21:31Z,0,1.13.0-beta10
7,10,7,0,2017-01-10T18:13:18Z,0,1.13.0
0,0,0,0,2017-01-10T18:13:19Z,0,1.14.0-beta0
9,19,14,0,2017-01-14T00:41:58Z,0,1.14.0-beta1
5,5,5,0,2017-01-18T06:33:39Z,0,1.14.0-beta2
10,17,13,0,2017-01-24T12:51:29Z,0,1.13.1
1,0,1,0,2017-01-25T09:04:11Z,0,1.14.0-beta3
5,5,5,0,2017-02-02T14:01:45Z,0,1.14.0-beta4
11,10,14,0,2017-02-07T23:48:24Z,0,1.14.0
0,0,0,0,2017-02-08T19:53:04Z,0,1.15.0-beta0
0,0,0,0,2017-02-09T21:15:28Z,0,1.14.1
0,0,0,0,2017-02-09T21:16:55Z,0,1.15.0-beta1
6,5,10,0,2017-02-14T18:24:48Z,0,1.14.2
0,0,0,0,2017-02-14T18:25:01Z,0,1.15.0-beta2
6,5,8,0,2017-02-17T16:53:06Z,0,1.14.3
0,0,0,0,2017-02-17T17:26:09Z,0,1.15.0-beta3
6,9,6,0,2017-02-27T17:32:37Z,0,1.15.0-beta4
0,0,0,0,2017-02-27T17:32:59Z,0,1.14.4
11,16,21,0,2017-03-08T20:18:47Z,0,1.15.0
0,0,0,0,2017-03-08T23:50:26Z,0,1.16.0-beta0
22,51,50,0,2017-04-11T18:06:14Z,0,1.16.0
3,5,4,0,2017-04-12T18:00:29Z,0,1.17.0-beta0
1,4,1,0,2017-04-13T16:18:35Z,0,1.17.0-beta1
1,3,2,0,2017-04-14T15:39:17Z,0,1.17.0-beta2
6,7,7,0,2017-04-18T16:52:31Z,0,1.17.0-beta3
8,7,11,0,2017-04-26T18:30:17Z,0,1.17.0-beta4
